Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;RemoveOutliers;Affinity;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;EnvironmentVariables;Toolchain;IsBaseline;InvocationCount;IterationTime;LaunchCount;RunStrategy;TargetCount;UnrollFactor;WarmupCount;Inputs;Mean;Error;StdDev;Median;Gen 0;Allocated
SafeTrimStart;Core;False;Default;Default;Default;Default;Default;Default;255;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;16;Default;?;1.750 ns;0.0533 ns;0.0445 ns;1.748 ns;-;0 B
SafeTrimStartSpan;Core;False;Default;Default;Default;Default;Default;Default;255;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;16;Default;?;3.179 ns;0.1153 ns;0.2302 ns;3.068 ns;-;0 B
SafeTrimStart;Core;False;Default;Default;Default;Default;Default;Default;255;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;16;Default;   The quick brown fox jumps over the lazy dog;58.023 ns;0.9866 ns;0.9229 ns;58.025 ns;0.0266;112 B
SafeTrimStartSpan;Core;False;Default;Default;Default;Default;Default;Default;255;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;16;Default;   The quick brown fox jumps over the lazy dog;10.712 ns;0.0879 ns;0.0734 ns;10.681 ns;-;0 B
SafeTrimStart;Core;False;Default;Default;Default;Default;Default;Default;255;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;16;Default;  foo bar;41.594 ns;0.4539 ns;0.4246 ns;41.462 ns;0.0095;40 B
SafeTrimStartSpan;Core;False;Default;Default;Default;Default;Default;Default;255;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;16;Default;  foo bar;10.212 ns;0.1259 ns;0.1116 ns;10.237 ns;-;0 B
